code,name,segment,growth_pct,op_margin_pct,roe_pct,per,pbr,div_yield_pct,div_growth_years,tech_score,vol_ratio,margin_ratio,analyst_rating,ret_1m_pct,ret_3m_pct
8306,三菱UFJフィナンシャル・グループ,銀行,28.8,45.6,9.46,15.872683,1.8768024,2.56,0,47.0,1.4702573966553945,,4.27273,6.89,17.58
8316,三井住友フィナンシャルグループ,銀行,24.8,40.9,8.57,15.898276,1.6710427,1.9,0,46.0,1.3691963506138842,,4.25,6.26,13.69
8411,みずほフィナンシャルグループ,銀行,35.0,46.69,12.49,15.576346,1.8547087,1.72,0,60.0,1.155431619786615,,4.0,3.59,13.71
8309,三井住友トラスト・ホールディングス,銀行,27.3,39.5,10.78,13.637741,1.3530508,2.66,0,44.0,1.0938762392368846,,3.75,8.43,23.61
8604,野村ホールディングス,証券,31.2,30.8,11.16,12.239659,1.272159,3.13,0,59.0,1.0468263374953402,,3.85714,7.09,22.63
8601,大和証券グループ本社,証券,57.2,30.1,10.96,14.947958,1.4374276,3.77,0,44.0,1.1220409010050894,,3.0,3.09,19.6
8628,松井証券,証券,48.3,55.16,,19.960245,3.4362397,4.68,0,42.0,0.8736973372667293,,3.0,14.98,29.29
8616,東海東京フィナンシャル・ホールディングス,証券,43.1,28.82,12.92,13.605544,1.1652079,4.49,0,46.0,1.3046887251058492,,,10.26,27.36
8801,三井不動産,不動産,-23.1,16.78,6.71,14.943097,1.252427,2.44,0,24.0,1.0500557447223984,,4.72727,1.92,1.0
8802,三菱地所,不動産,39.4,24.36,10.7,20.366182,1.6333308,1.35,0,22.0,0.889874951567486,,4.54545,-2.4,-7.21
3289,東急不動産ホールディングス,不動産,-0.8,16.3,10.54,9.681943,1.0274949,3.78,0,8.0,0.9548065733773942,,3.72727,2.1,1.86
8804,東京建物,不動産,16.6,28.42,10.64,11.361648,1.1523254,3.83,0,7.0,0.8712463953026643,,3.7,3.24,6.87
8830,住友不動産,不動産,,36.6,9.36,14.166338,1.1681603,1.6,0,22.0,0.892251404503742,,4.0,-7.83,-8.79
7203,トヨタ自動車,自動車,10.4,7.86,12.4,8.770532,0.9779102,3.21,0,43.0,0.9379984849934203,,4.26316,5.71,8.11
7267,ホンダ,自動車,13.5,8.76,-0.76,,0.53428125,4.07,0,58.0,0.9708628198393161,,3.625,3.7,17.45
7201,日産自動車,自動車,9.5,2.63,-7.65,,0.22583461,,0,24.0,1.085154115357888,,2.88235,-4.46,-9.43
7269,スズキ,自動車,22.0,9.26,15.32,9.076937,1.1267333,2.47,0,8.0,0.9656970526720905,,4.41176,7.32,10.8
7211,三菱自動車工業,自動車,1.8,1.63,2.27,50.784046,0.53936946,2.63,0,46.0,1.3021434815261688,,2.91667,8.3,9.23
6758,ソニーグループ,電機,8.2,16.72,13.16,20.876995,2.7259905,0.9,0,42.0,0.8240783689340831,,4.65217,8.98,9.16
6501,日立製作所,電機,20.0,10.86,,30.3032,3.6685717,1.05,0,36.0,0.7796589077347561,,4.38462,-1.81,1.45
6752,パナソニックホールディングス,電機,6.4,9.19,5.25,51.81083,1.798019,1.29,0,21.0,0.7754079761747992,,4.46667,-7.82,10.9
6702,富士通,電機,3.9,6.74,16.2,21.739132,3.3240998,1.45,8,46.0,1.3024345546323712,,4.23077,11.97,8.6
6503,三菱電機,電機,14.0,9.32,10.28,26.809706,2.3497562,1.13,0,27.0,1.4279170187149322,,4.0,-10.26,-12.74
8058,三菱商事,商社,22.8,2.9,10.08,23.348417,1.863427,2.47,0,49.0,1.7315444128345345,,3.69231,5.62,0.88
8031,三井物産,商社,31.7,3.4,11.38,18.05071,1.5842783,2.67,0,51.0,1.9582831825574523,,4.0,6.79,-0.4
8001,伊藤忠商事,商社,8.9,5.3,14.09,17.209337,2.2763398,1.99,0,47.0,1.4783843377928783,,4.36364,11.4,17.64
8053,住友商事,商社,9.0,5.3,13.61,14.771528,1.8213643,2.17,0,48.0,1.5058417661906336,,4.0,5.78,6.4
2768,双日,商社,39.3,3.45,10.73,11.682177,1.0473104,3.12,0,49.0,1.7083969794109422,,3.375,6.96,11.0
