code,name,segment,score,s_growth_block,s_value_block,s_tech_block,growth_pct,op_margin_pct,roe_pct,per,pbr,div_yield_pct,div_growth_years,tech_score,vol_ratio,margin_ratio,analyst_rating,ret_1m_pct,ret_3m_pct
1592,中型システムズ142,中型株,66.5,24.4,23.5,14.8,20.81345098288086,20.124395089035577,4.921718157640192,13.023650775523834,1.529835766155094,3.9812269275815684,2,49.416087585400994,1.9743627792314309,2.3253795251071354,4.077761367173166,-5.862857790674564,5.945207070892085
1537,中型ネットワーク087,中型株,66.4,28.1,23.3,13.1,26.61369060687219,6.7733976751121565,15.295230290888679,16.246503585684742,0.4002315802005678,2.9706987820947637,7,42.570824732006265,1.1955330660540147,0.3,2.492954832252531,9.288177465703516,2.403001927910786
1558,中型商事108,中型株,65.7,26.0,22.5,13.6,16.112915244014317,19.437765197433194,14.910641195473701,6.190417440786916,1.3373429324362602,2.4566343810815297,4,67.70748195297173,0.7414755267696196,3.116897557591337,3.8362582638209033,7.954025719821956,-1.6686179993535042
1464,中型ロジ014,中型株,65.0,21.9,20.9,18.0,16.180318460662086,13.775728409724156,11.221085014500915,10.14524409035376,1.5473698806438967,2.171982215104256,4,97.71745552852724,0.9381136107293823,3.7601202344256475,4.354769653795438,3.588011484596297,36.05414143006598
1598,中型バイオ148,中型株,64.7,22.1,25.5,15.0,15.712909988426405,5.081204514699025,19.213671509688147,4.705450293730101,0.7352120107316112,2.6173708030318292,8,63.670774650091076,1.4814289600911956,3.031566423011505,2.6788812367078454,0.059169910563724226,-6.542916639775321
1526,中型ホールディングス076,中型株,64.4,23.7,21.1,19.3,17.18844224114093,15.003595608348277,12.384098646654104,6.897471491667687,1.281852396235196,1.4538835170572741,6,79.20732735070932,1.7281927930154415,1.640605045049363,1.3083735021684166,-7.601771388780326,25.0595237369865
1573,中型商事123,中型株,64.4,23.1,21.2,15.4,17.500183373998063,9.325339813631963,15.315462268054542,10.114980108083323,1.6239345432569388,2.552002953937632,3,65.28181347555082,1.0668014624037456,1.831692444525697,4.784386706235171,9.293717198168654,-1.130376940578122
1467,中型製作所017,中型株,64.1,17.4,22.2,22.1,15.41987873673115,7.280695364521829,8.392306776068082,9.336278851667988,2.4108108440564218,2.8334215410273496,5,80.4498055805641,2.6063246241193614,0.3,2.9092987352983135,-0.6970505050471427,-2.2098354685923134
1567,中型ネットワーク117,中型株,64.0,17.2,19.5,22.7,8.177875635349258,14.861057386762525,11.509103065516493,6.5241538643926695,0.5794796261235726,0.8188360685092264,5,95.15010164182003,1.8812291220001063,0.3,4.636860750455828,8.618402502087882,-10.543599346345093
1552,中型ネットワーク102,中型株,63.6,25.2,19.4,16.3,22.895283819739923,8.547689196531447,12.975714095158628,4.0,1.4727495596606115,1.8869577140737948,1,77.46610845331358,1.0368781591880858,2.6805405232315427,3.198245700168743,-8.500895230590459,-5.583837280923532
1578,中型フーズ128,中型株,63.6,30.3,16.6,14.4,29.342444288931567,4.052383238909371,18.290854037395547,15.420813110196764,2.0642701517600957,0.5522228588955291,8,72.15730152397295,1.1805449826068912,4.161202837790018,2.8876037591662005,-0.47664051349019587,2.438664636495245
1545,中型化学095,中型株,63.3,23.8,21.9,15.2,17.81332295982504,11.196565330121482,14.884038494325733,4.4322635721447305,2.1041612626317487,2.3771198300050305,5,64.84041938287504,0.7064724227315566,0.30352840429611616,2.9303566670536294,6.389503687637474,16.281096982104746
1489,中型メディカル039,中型株,63.2,25.2,20.7,14.5,16.554744776477975,24.01813149375205,9.119479047202088,12.251509189991234,2.038276110101622,3.0191041689121385,2,50.74307181525912,1.47056541910902,1.5103483666776094,3.171572809587988,3.537556604210608,19.9512642178671
1480,中型テック030,中型株,62.6,27.2,22.2,9.2,21.75949784752985,11.847369355966302,15.998370099359946,9.587333170913693,0.41324476868996207,2.4607543841411674,3,49.15226512917101,1.2423306403663819,7.981384605658068,4.167620437895247,9.296991635179914,18.127242698640266
1564,中型メディカル114,中型株,62.2,22.8,23.3,12.1,19.827154946675076,11.039970147744066,10.423325025963319,21.385873117483094,0.8150913839709959,5.014447453266161,5,64.85492655107811,1.4625479869862987,6.378845655596956,4.134005929338086,-6.630335874023542,24.84164461721005
1534,中型メディカル084,中型株,62.1,19.3,24.6,15.2,12.18364603890711,10.500827097522748,13.85929591318355,7.622955615842413,1.7499900733899247,3.291583619377472,5,60.50401131570865,1.1520581987170144,1.4972679250112968,3.442401126048169,10.558235117282436,6.571657920798497
1514,中型電機064,中型株,61.7,24.1,22.0,13.5,16.159167850198116,15.83862693389737,13.883541807717009,13.534026868922826,1.385365127114459,1.7724356354078754,11,68.00641656338996,0.9680997793242827,3.8378941934993036,2.691304865714946,12.027040311535362,0.06717085031431846
